entity,tag,category,Tagged,tag_status
بنو عوف بن الخزرج,@BanuCaufIbnKhazraj,group,TRUE,FALSE
بني ساعدة,@BanuSaCidaIbnKaCb,group,TRUE,FALSE
بنو ساعدة,@BanuSaCidaIbnKaCb,group,TRUE,FALSE
بني مازن بن النجار,@BanuMazinIbnNajjar,group,TRUE,FALSE
بنو مازن بن النجار,@BanuMazinIbnNajjar,group,TRUE,FALSE
بني سالم بن غنم,@BanuSalimIbnGhanm,group,TRUE,FALSE
بنو سالم بن غنم,@BanuSalimIbnGhanm,group,TRUE,FALSE
الخزرج بن حارثة,@BanuKhazrajIbnHaritha,group,TRUE,FALSE
بلحارث بن الخزرج,@BanuHarithIbnKhazraj,group,TRUE,FALSE
بني سلمة بن سعد,@BanuSalamaIbnSacd,group,TRUE,FALSE
بنو سلمة بن سعد,@BanuSalamaIbnSacd,group,TRUE,FALSE
بني سواد بن غنم,@BanuSawadIbnGhanm,group,TRUE,FALSE
بنو سواد بن غنم,@BanuSawadIbnGhanm,group,TRUE,FALSE
بني النضير,@BanuNadir,group,TRUE,FALSE
بنو النضير,@BanuNadir,group,TRUE,FALSE
بني ثعلبة,@BanuThaClaba,group,TRUE,FALSE
بنو ثعلبة,@BanuThaClaba,group,TRUE,FALSE
بني قينقاع,@BanuQaynuqaC,group,TRUE,FALSE
بنو قينقاع,@BanuQaynuqaC,group,TRUE,FALSE
بني قريظة,@BanuQurayza,group,TRUE,FALSE
بنو قريظة,@BanuQurayza,group,TRUE,FALSE
بني زريق,@BanuZurayq,group,TRUE,FALSE
بنو زريق,@BanuZurayq,group,TRUE,FALSE
بني حارثة,@BanuHaritha,group,TRUE,FALSE
بنو حارثة,@BanuHaritha,group,TRUE,FALSE
 بنى حبيب,@BanuHubayb,group,TRUE,FALSE
 بنو حبيب,@BanuHubayb,group,TRUE,FALSE
بني ضبيعة,@BanuDubayCa,group,TRUE,FALSE
بنو ضبيعة,@BanuDubayCa,group,TRUE,FALSE
بني لوذان,@BanuLaudhan,group,TRUE,FALSE
بنو لوذان,@BanuLaudhan,group,TRUE,FALSE
بني عبيد,@BanuCubayd,group,TRUE,FALSE
بنو عبيد,@BanuCubayd,group,TRUE,FALSE
بني النبيت,@BanuNabit,group,TRUE,FALSE
بنو النبيت,@BanuNabit,group,TRUE,FALSE
بني ظفر,@BanuZafar,group,TRUE,FALSE
بنو ظفر,@BanuZafar,group,TRUE,FALSE
بني عبد الأشهل,@BanuCabdAshhal,group,TRUE,FALSE
بنو عبد الأشهل,@BanuCabdAshhal,group,TRUE,FALSE
بني جشم,@BanuJusham,group,TRUE,FALSE
بنو جشم,@BanuJusham,group,TRUE,FALSE
بني ضمرة,@BanuDamra,group,TRUE,FALSE
بنو ضمرة,@BanuDamra,group,TRUE,FALSE
بني كبير,@BanuKabir,group,TRUE,FALSE
بنو كبير,@BanuKabir,group,TRUE,FALSE
بني عبيد بن كعب,@BanuCubaydIbnKaCb,group,TRUE,FALSE
بنو عبيد بن كعب,@BanuCubaydIbnKaCb,group,TRUE,FALSE
بني عبد بن رزاح,@BanuCabdIbnRizah,group,TRUE,FALSE
بنو عبد بن رزاح,@BanuCabdIbnRizah,group,TRUE,FALSE
بني جحجبى,@BanuJahjaba,group,TRUE,FALSE
بنو جحجبى,@BanuJahjaba,group,TRUE,FALSE
بني غنم,@BanuGhanm,group,TRUE,FALSE
بنو غنم,@BanuGhanm,group,TRUE,FALSE
بني معاوية,@BanuMuCawiya,group,TRUE,FALSE
بنو معاوية,@BanuMuCawiya,group,TRUE,FALSE
بني امرئ القيس,@BanuImruQays,group,TRUE,FALSE
بنو امرئ القيس,@BanuImruQays,group,TRUE,FALSE
بني زيد,@BanuZayd,group,TRUE,FALSE
بنو زيد,@BanuZayd,group,TRUE,FALSE
بني أحمر,@BanuAhmar,group,TRUE,FALSE
بنو أحمر,@BanuAhmar,group,TRUE,FALSE
بني جشم,@BanuJusham,group,TRUE,FALSE
بنو جشم,@BanuJusham,group,TRUE,FALSE
بني جدارة,@BanuJidara,group,TRUE,FALSE
بنو جدارة,@BanuJidara,group,TRUE,FALSE
بني الأبجر,@BanuAbjar,group,TRUE,FALSE
بنو الأبجر,@BanuAbjar,group,TRUE,FALSE
بني جزء,@BanuJaz,group,TRUE,FALSE
بنو جزء,@BanuJaz,group,TRUE,FALSE
بني أصرم,@BanuAsram,group,TRUE,FALSE
بنو أصرم,@BanuAsram,group,TRUE,FALSE
بني دعد,@BanuDaCd,group,TRUE,FALSE
بنو دعد,@BanuDaCd,group,TRUE,FALSE
بني البدي,@BanuBadiy,group,TRUE,FALSE
بنو البدي,@BanuBadiy,group,TRUE,FALSE
